Ticker,Name,Sector,Region,P/E Ratio,P/B Ratio,P/S Ratio,Revenue Growth (%),Earnings Growth (%),Profit Margin (%),Free Cash Flow,Div_2025,Momentum 6M (%),Momentum 12M (%),Value Score,Growth Score,Momentum Score,Overall AI Score
RWE.DE,RWE AG                        I,Energy & Ind.,Germany,13.07,1.17,2.18,-42.3,0.0,17.05,-10805749760.0,1.2,58.48,81.06,2,4,1,2
LMT,Lockheed Martin Corporation,Energy & Ind.,US,29.16,21.38,1.93,9.1,161.0,6.68,5281625088.0,13.35,34.38,46.59,4,2,1,2
RTX,RTX Corporation,Energy & Ind.,US,40.03,4.08,3.01,12.1,8.3,7.6,6456249856.0,2.67,26.14,52.23,4,2,1,2
AD.AS,KONINKLIJKE AHOLD DELHAIZE N.V.,Consumer,Europe,16.34,2.55,0.39,0.9,56.4,2.45,3464750080.0,1.24,20.82,23.68,2,2,2,2
ABI.BR,AB INBEV,Consumer,Europe,20.19,1.53,1.94,4.8,63.3,11.53,10525875200.0,1.35,18.75,3.96,3,2,3,2
000270.KS,KIA CORP.,Consumer,South Korea,,,0.57,3.5,-14.2,6.62,1879376658432.0,0.0,59.72,75.52,3,3,1,2
7269.T,SUZUKI MOTOR CORP,Consumer,Japan,9.46,1.12,0.61,15.7,20.5,6.78,86606372864.0,43.0,-6.53,4.15,2,2,4,2
7202.T,ISUZU MOTORS,Consumer,Japan,12.71,1.11,0.48,6.7,32.6,3.99,29770500096.0,92.0,20.97,21.56,2,2,2,2
2503.T,KIRIN HOLDINGS COMPANY LIMITED,Consumer,Japan,13.59,1.56,0.82,6.0,0.0,6.06,75326996480.0,74.0,14.38,23.42,2,3,2,2
6503.T,MITSUBISHI ELECTRIC CORP,Technology,Japan,28.74,2.7,1.98,4.9,-14.9,6.59,252386869248.0,55.0,49.81,87.78,2,3,1,2
6723.T,RENESAS ELECTRONICS CORP,Technology,Japan,,1.86,3.44,20.1,-9.0,-3.92,244618493952.0,28.0,45.72,8.59,3,2,2,2
6902.T,DENSO CORP,Technology,Japan,15.06,0.97,0.7,5.0,25.6,5.16,54976000000.0,64.0,-9.59,-2.73,1,2,4,2
NOKIA.HE,Nokia Corporation,Technology,Europe,62.87,1.84,1.94,2.4,-40.8,3.27,499124992.0,0.14,73.5,44.48,3,4,1,2
ERIC-B.ST,"Ericsson, Telefonab. L M ser. B",Technology,Europe,12.47,3.23,1.49,-5.0,79.2,12.01,18859999232.0,3.0,42.85,30.41,1,3,2,2
SBRY.L,SAINSBURY (J) PLC ORD 28 4/7P,Consumer,UK,18.5,119.4,0.22,2.8,123.3,0.99,393375008.0,0.14,2.44,40.62,3,2,2,2
MAR,Marriott International,Consumer,US,33.66,-22.54,12.14,6.3,1.6,37.25,1673250048.0,2.64,19.59,35.91,3,2,2,2
HOT.DE,HOCHTIEF AG                   I,Consumer,Germany,32.37,23.01,0.76,4.1,25.4,2.36,1767965824.0,6.6,67.59,127.99,4,2,1,2
GLE.PA,SOCIETE GENERALE,Finance,Europe,8.97,0.66,1.78,0.5,49.2,23.28,0.0,1.61,8.5,49.19,1,3,2,2
105560.KS,KBFinancialGroup,Finance,South Korea,,,3.5,31.8,8.9,36.72,0.0,0.0,43.58,95.15,4,3,1,2
055550.KS,ShinhanGroup,Finance,South Korea,,,2.96,21.6,35.0,31.62,0.0,0.0,52.41,113.46,4,2,1,2
086790.KS,HANAFINANCIALGR,Finance,South Korea,,,2.5,82.9,0.0,32.32,0.0,0.0,38.71,90.43,4,3,1,2
